,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,FRANJA_H,TIPO_DE_CALLE,COMUNA,POS_X,POS_Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_SEMANA
121,2016-0152,1,2016-11-23,2016,11,23,21:10:00,21,AVENIDA,7,-58.46451841,-34.64991946,MOTO,AUTO,CONDUCTOR,MASCULINO,42,2016-11-24 00:00:00,Miércoles
122,2016-0153,1,2016-11-25,2016,11,25,15:42:00,15,AVENIDA,15,-58.42917090,-34.59485488,PEATON,MOTO,PEATON,FEMENINO,83,2016-11-25 00:00:00,Viernes
123,2016-0154,1,2016-11-26,2016,11,26,14:14:00,14,GRAL PAZ,8,-58.49007772,-34.68251141,MOTO,MOTO,CONDUCTOR,MASCULINO,38,SD,Sábado
124,2016-0155,1,2016-11-26,2016,11,26,16:50:00,16,CALLE,10,-58.52756365,-34.62772274,PEATON,AUTO,PEATON,FEMENINO,29,SD,Sábado
125,2016-0156,1,2016-11-26,2016,11,26,19:40:00,19,AVENIDA,3,-58.40638983,-34.61943202,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,23,2016-11-30 00:00:00,Sábado
126,2016-0157,1,2016-12-03,2016,12,3,06:40:00,6,AVENIDA,11,-58.47576807,-34.61740997,MOTO,MOTO,CONDUCTOR,MASCULINO,23,SD,Sábado
127,2016-0159,1,2016-12-04,2016,12,4,07:21:00,7,AVENIDA,8,-58.44451316,-34.68475866,AUTO,SD,CONDUCTOR,MASCULINO,23,SD,Domingo
128,2016-0160,1,2016-12-06,2016,12,6,05:30:00,5,AUTOPISTA,9,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO,CONDUCTOR,MASCULINO,29,2016-12-06 00:00:00,Martes
129,2016-0161,1,2016-12-06,2016,12,6,07:22:00,7,AVENIDA,14,-58.42525456,-34.57866344,PEATON,PASAJEROS,PEATON,MASCULINO,50,2016-12-06 00:00:00,Martes
130,2016-0162,1,2016-12-07,2016,12,7,05:00:00,5,AVENIDA,15,-58.45396573,-34.58518167,PEATON,AUTO,PEATON,MASCULINO,38,2017-01-01 00:00:00,Miércoles
